Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
lb-moi-497,ABAAD- Resource Center for Gender Equality
gb-coh-294860,ADD International
dk-cvr-20074035,ADRA Danmark
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation
fr-3,AFD
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development
ae-hfza-1526,ALTAI
gb-chc-290836,APT Action on Poverty
us-ein-042103594,Abdul Latif Jameel Poverty Action Lab
gb-chc-326859,Able Child Africa
gb-coh-10633588,Abt Britain Ltd
nl-kvk-58279199,Access to Nutrition Foundation
gb-chc-1047501,Action Against Hunger
bd-nab-0210,ActionAid Bangladesh
dk-cvr-18243717,ActionAid Denmark (Mellemfolkeligt Samvirke)
ke-ncb-op/218/051/924/84,ActionAid International Kenya
gb-chc-274467,ActionAid UK
us-ein-11-3803281,African Center for Economic Transformation
ug-rsb-73316,African Center for Global Health and Social Transformation
46002,African Development Bank Group
gb-coh-1100897,Aga Khan Foundation (United Kingdom)
gb-chc-1128267-8,Age International UK (HelpAge International UK)
nl-kvk-41207989,Aidsfonds - Soaaids Nederland
nl-kvk-27327087,Akvo Foundation
nl-kvk-40530953,Amnesty International The Netherlands
nl-kvk-41150298,Amref Flying Doctors
gb-chc-261488,Amref Health Africa - UK
ug-ngb-5914-252,Amref Health Africa Uganda
xm-dac-46004,Asian Development Bank
xm-dac-xm-dac-46004,Asian Development Bank
ug-ngb-3329,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities
au-5,Australian Aid
gb-chc-1076235,BBC Media Action
gb-chc-1115482,BRAC UK
gb-chc-209131,BRITISH COUNCIL
be-bce_kbo-0264814354,Belgian development agency (Enabel)
dac-1601,Bill and Melinda Gates Foundation
gb-chc-220949,British Red Cross
gb-chc-285776,CAFOD
gb-chc-292506,CARE International UK
nl-kvk-41158230,CARE Nederland
gb-chc-1178168,CDAC Network
gb-chc-1122330,CDP Worldwide
xm-dac-47015,CGIAR
dk-cvr-19348407,CISU Civil Society in Development
dk-cvr-29439915,Caritas Denmark
fi-pro-139407,Caritas Finland
bd-nab-2004,"Centre for Injury Prevention and Research, Bangladesh (CIPRB)"
gb-chc-1105851,Christian Aid
no-brc-917687811,Coalition for Epidemic Preparedness innovations
ie-chy-20009090,Concern Worldwide
gb-chc-1092236,Concern Worldwide (UK)
nl-kvk-41160054,Cordaid
xm-dac-21-1,DFAT / Irish Aid
dk-cvr-36980214,DanChurchAid
dk-cvr-20699310,Danish Refugee Council
dk-cvr-25191501,Danmission
gb-gov-13,"Department for Business, Energy and Industrial Strategy"
gb-gov-7,"Department for Environment, Food, and Rural Affairs"
gb-coh-06368740,Development Initiatives Poverty Research
xm-dac-2-10,Directorate-general Development Cooperation and Humanitarian Aid
gb-chc-1046001,Disability and Development Partners
dk-cvr-14766383,Disabled People’s Organisations Denmark
gb-chc-1062638,Disasters Emergency Committee
nl-kvk-41236410,Dorcas Aid International
nl-kvk-27284008,Dutch Employers Cooperation Programme DECP
gb-sc-sc032327,EMMS International
tr-moi-27-019-074,Emissa
et-csa-1351,Ethiopian Public Health Association
xi-iati-ebrd,European Bank for Reconstruction and Development
xi-iati-ec_echo,European Commission - Humanitarian Aid & Civil Protection
xi-iati-ec_intpa,European Commission - International Partnerships
xi-iati-ec_near,European Commission - Neighbourhood and Enlargement Negotiations
xi-iati-ec_fpi,European Commission – Service for Foreign Policy Instruments
be-bce_kbo-0550758080,European Institute of Peace
xm-dac-918-3,European Investment Bank
de-1,Federal Ministry for Economic Cooperation and Development  (BMZ)
gb-chc-291333,Feed the Minds
ch-fdjp-f7f0b51e-7432-4c0c-a6c0-7df1101d7983,Fondation Hirondelle
xm-dac-41301,Food and Agriculture Organization (FAO)
ca-3,"Foreign Affairs, Trade and Development Canada (DFATD)"
nl-kvk-56484038,Foundation ICCO
gb-chc-1107403,GOAL UK
xm-dac-5-7,Germany - Federal Foreign Office
us-ein-27-1661997,GiveDirectly
xm-dac-47136,Global Green Growth Institute
us-ein-300108263,GlobalGiving
at-uid-u74408937,Ground Truth Solutions
fr-rcs-519655997,Handicap International Federation
gb-coh-1762840,HelpAge International
gb-chc-1082565,Humanity & Inclusion - Handicap International UK
de-cr-bonnvr8726,IFOAM - Organics International
us-ein-522112460,IMA World Health
be-bce_kbo-0410057701,Instituut voor Tropische Geneeskunde
xi-iati-iadb,Inter-American Development Bank
gb-coh-2153193,International Alert
xi-iati-iki,International Climate Initiative (IKI)
xm-dac-47059,International Development Law Organization (IDLO)
xm-dac-301-2,International Development Research Centre
xm-dac-21018,International Federation of Red Cross and Red Crescent Societies
xm-dac-903,International Finance Corporation
xm-dac-41108,International Fund for Agricultural Development
xm-dac-47058,International IDEA
gb-chc-1093861,International Medical Corps UK
xm-dac-47066,International Organization for Migration (IOM)
xm-dac-45001,International Trade Centre (ITC)
gb-chc-1148404,Internews Europe
gb-chc-328158,Islamic Relief Worldwide
jo-msd-200159274,JoWomenomics
tz-brla-36057,KPMG Advisory Limited Tanzania
xm-ochas-hpc6770,King Salman Humanitarian Aid and Relief Centre
ke-kra-p051098561l,Kituo Cha Sheria-Legal Advice Centre
xi-iati-ua-edr-37199602,Kyiv School of Economics and Management
jo-ccd-200104681,Leaders of Tomorrow
fr-6,MAEDI
gb-sc-sc030289,MERCY CORPS EUROPE
gb-chc-1099776,Malaria Consortium
gb-coh-04105827,MannionDanniels
gb-chc-1126727,MapAction
ca-cra_acr-817387277,Mastercard Foundation
fi-3,Ministry for Foreign Affairs of Finland
xm-dac-7,Ministry of Foreign Affairs of the Netherlands
xm-dac-3-1,"Ministry of Foreign Affairs, Denmark"
xm-dac-61-2,"Ministy of Foreign Affairs, Republic of Slovenia"
gb-coh-1110949,Mott MacDonald Group Limited
xi-iati-mif,Multilateral Investment Fund (MIF)
nl-kvk-27378529,Netherlands Enterprise Agency
nz-1,New Zealand Ministry of Foreign Affairs and Trade
no-brc-971277882,Norad - Norwegian Agency for Development Cooperation
no-brc-977538319,Norwegian Refugee Council
nl-kvk-41150085,Nuffic
ng-cac-it-no96562,Olamma Cares Foundation
us-dos-64562614,One Acre Fund
au-acnc-18055208636,Oxfam Australia
gb-chc-202918,Oxfam GB
nl-kvk-27108436,Oxfam Novib
ng-cac-30547,PARADIGM INITIATIVE
gb-coh-04154075,PENAL REFORM INTERNATIONAL
us-ein-us-ein-13-2702768,"Pact, Inc"
nl-kvk-41198890,Plan International Netherlands
gb-coh-1364201,Plan International UK
ke-ncb-2180511304359047,Population Services Kenya
gb-coh-871954,Practical Action
gb-coh-03580586,PricewaterhouseCoopers LLP
dk-cvr-63407216,Red Barnet
gb-chc-1079752,RedR UK
gb-chc-1098106,Relief International UK
us-ein-20-8530747,Results for Development
nl-kvk-41152786,SNV Netherlands Development Organisation
nl-kvk-41197577,SOS Children's Villages The Netherlands
gb-chc-1105489,Sabre Education Limited
gb-chc-1076822,Save The Children International
gb-coh-213890,Save The Children UK
nl-kvk-41201463,Save the Children Netherlands
fr-siret-77566669600015,Secours Catholique-Caritas France
gb-chc-1076497,Sense International
gb-chc-207544,Sightsavers
nl-kvk-51756811,Solidaridad
nl-kvk-41150939,Solidaridad Europa
hk-cr-1494242,Solidaridad South & South-East Asia
nl-kvk-41048542,Stichting Agriterra
nl-kvk-72849770,Stichting Beheer Subsidiegelden DRA
nl-kvk-41022454,Stichting Red een Kind
nl-kvk-40594571,Stichting Simavi
nl-kvk-41149486,Stichting Vluchteling
gb-chc-1065705,Survivors Fund (SURF)
se-0,Sweden
ch-4,Swiss Agency for Development and Cooperation (SDC)
nl-kvk-41177385,Tearfund Nederland
nl-kvk-41149287,Terre des Hommes Netherlands
ch-fdjp-che106823242,Terre des hommes - Helping children worldwide - Foundation
xi-iati-cwsec,The Commonwealth Secretariat
gb-chc-1158838,The Freedom Fund (UK)
gb-chc-1050327,The Leprosy Mission England and Wales
np-swc-17775,The Leprosy Mission Nepal
xi-iati-ofid,The OPEC Fund for International Development (OFID)
us-ein-941655673,The William and Flora Hewlett Foundation
us-usagov,The federal government of the United States
ke-rco-cpr/2009/5689,TradeMark East Africa
gb-chc-1081769,Transform Africa
gb-gov-1,"UK - Foreign, Commonwealth and Development Office"
gb-chc-1166956,UK-Med
xi-iati-unpf,UN Pooled funds
xm-dac-41146,UN Women
xm-dac-41122,UNICEF
xm-ocha-cerf,UNOCHA - Central Emergency Response Fund (CERF)
xm-dac-30010,Unitaid
xm-dac-41114,United Nations Development Programme
xm-dac-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
xm-dac-41121,United Nations High Commissioner for Refugees (UNHCR)
xm-dac-41123,United Nations Industrial Development Organization
41aaa,United Nations Office for Project Services
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs
xm-dac-41130,United Nations Relief and Works Agency for Palestine Refugees in the Near East
us-gov-1,United States Agency for International Development (USAID)
nl-kvk-41215393,War Child Holland
gb-chc-1071659,War Child UK
gb-chc-1160263,WasteAid UK
gb-chc-1125217,Welbodi Partnership
ng-cac-495140,Women Environmental Programme
lk-drc-ga139,Women's Fund Asia
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-41140,World Food Programme
xm-dac-928,World Health Organization
gb-chc-290767,World Jewish Relief
xi-iati-wvdrc,World Vision DRC
de-cr-ra000209-vr1207,World Vision Germany
us-ein-95-3202116,World Vision International
nl-kvk-41179943,World Vision Netherlands
gb-chc-285908,World Vision United Kingdom
nl-kvk-34271281,World Waternet
gb-coh-06735120,Worldwide Hospice and Palliative Care Alliance
nl-kvk-41009723,ZOA
gb-chc-208728,Zoological Society of London
gb-chc-265464,tearfund
